SPR_RSP,Label
195,Specific Workforce Shortage Program approved placement - SWSP
196,Rural and Remote Area Placement Program - (RRAPP) - ACRRM Program approved placement (EXPIRED 31/12/04)
197,Approved Private Emergency Department - APED Program approved placement
198,TROMP Program approved placement
199,MDS After Hours OMPs Program
400,College Trainee - Anaesthetist
401,College Trainee - Dermatologist
402,College Trainee - Emergency Med
404,College Trainee - Obst & Gynae
405,College Trainee - Occupational Med
406,College Trainee - Ophthalmology
408,College Trainee - Physician
409,College Trainee - Psychiatry
410,College Trainee - Radiology
411,College Trainee - Surgery
412,College Trainee - Rehabilitation
413,College Trainee - Public Health
414,College Trainee - Aust College of Sports Physician Trainees - SPT
415,College Trainee - Pain Medicine
416,College Trainee - Palliative Medicine
420,Royal Prince Alfred (PET Services)
421,Austin & Repat Med (PET Services)
422,Aboriginal Health Worker
423,Dietitian
424,Mental Health Worker
425,Occupational Therapist
426,Psychologist
427,Speech Pathologist
428,Diabetes Educator
429,Exercise Physiologist.
430,GPEA/GPET (GPTRAINEE)
431,GPET Stuart-Fleurieu GP Training (GPTRAINEE)
432,GPET GP Training Valley to Coast (GPTRAINEE)
433,GPET Sth West Syd Ins GP Ed Inc (GPTRAINEE)
434,GPET Sydney Institute of GP Ed (GPTRAINEE)
435,GPET Went West (GPTRAINEE)
436,GPET NT Consortium (GPTRAINEE)
437,GPET Central and Sthn QLD (GPTRAINEE)
438,GPET Nth QLD GP and Rural Med (GPTRAINEE)
439,GPET Rural and Regional QLD (GPTRAINEE)
440,GPET Adelaide to Outback (GPTRAINEE)
441,GPET Tasmanian GP Ed and Train'g (GPTRAINEE)
442,GPET Gippsland (GPTRAINEE)
443,GPET Greater Green Triange (GPTRAINEE)
444,GPET Vic Metropolitan Alliance (GPTRAINEE)
445,GPET WA GP Ed and Training All (GPTRAINEE)
446,Bogong Regional Training Network (GPTRAINEE)
447,Central West Consortium Ltd (GPTRAINEE)
448,Coast City Country GP Training Inc. (GPTRAINEE)
449,New England Area Training Service P/L (GPTRAINEE)
450,North Coast NSW GP Training (GPTRAINEE)
451,Victoria Felix Medical Education (GPTRAINEE)
452,Rural Health Ed/Dev West-RHEDWEST (GPTRAINEE)
453,GPET - GPLOGIC (GPTRAINEE)
454,GPET - GP Synergy (GPTRAINEE)
455,GPET Beyond Medical Education
456,GPET - Southern GP Training
457,Unknown
459,Unknown
460,Unknown
461,Unknown
462,Unknown
467,Unknown
500,10 Year Moratorium (Medicare Benefits Not Payable)
505,TRD with 19AB exemption to assist with ops
532,RACGP Fellow - ACRRM pathway
550,Optometrist (Participating from 1/1/98)
555,Employee of Participating Optometrist
601,Aboriginal Health Service - Pathology
602,Approved 3C - PET Items - DoHA
603,Approved 3C - DBS Items - DoHA
604,Approved 3C - 3 Step Mental Health Items - DoHA
605,FPS MBS items location specific (Focussed Psychological Strategies)
608,3C PoCT
609,Extraction of Leads Recognition
610,Acupuncture Accreditation
611,Recognised Gastro Endoscopist
613,CT of the Coronary Arteries - approved
615,Outer Metro OMPs
616,Outer Metro Specialist Trainees
617,Metropolitan Workforce Support Program
631,"3C - PET (Epilepsy, SPN and NSCLC only)"
633,DBS item 40862
634,Aboriginal and Torres Strait Islander Health Practitioners (ATSIHPs)
639,Clinical Psychologist – AHPRA endorsed
640,Clinical Psychologist
641,Social Worker
642,Mental Health Nurse
643,Mental Health Nurse - Counselling
644,Occupational Therapist - Mental Health
645,Psychologist - Counselling
646,Social Worker - Counselling
647,Medical Practitioner - Counselling
648,Medical Practitioner - PSC - ACRRM
649,GP Mental Health Skills Training
650,FPS MBS items at all locations (Focussed Psychological Strategies)
651,Nurse Practitioner
652,Midwife
801,Sport and Exercise Medicine
802,Addiction Medicine
803,Sexual Health Medicine
808,Urogynaecology
898,C/Physician - Paediatric Emergency Medicine
899,C/Physician - Community Child Health
1796,Unknown
1828,Unknown
1876,Unknown
1884,Unknown
1892,Unknown
1908,Unknown
1924,Unknown
1925,Unknown
2140,Unknown
3136,Unknown
8960,Unknown
9999,Unknown
